KEY,NUCLIDE,METHOD,< VALUE_Bq/m³,VALUE_Bq/m³,ERROR%_m³,DATE_OF_ENTRY
"WSTUK1995027","CS137","STUK01",,86,4,
"WSTUK1995027","K40","STUK01",,2810,4,
"WSTUK1995027","SR90","STUK02",,15.1,10,
"WSTUK1995028","CS137","STUK01",,67,6,
"WSTUK1995028","K40","STUK01",,5300,4,
"WSTUK1995028","SR90","STUK02",,12.1,10,
"WSTUK1996001","CS137","STUK01",,38.5,4,
"WSTUK1996001","K40","STUK01",,525,4,
"WSTUK1996002","CS134","STUK01",,1.33,19,
"WSTUK1996002","CS137","STUK01",,78.7,4,
"WSTUK1996002","K40","STUK01",,1190,4,
"WSTUK1996002","PU238","STUK03","<",0.002,,
"WSTUK1996002","PU239240","STUK03","<",0.002,,
"WSTUK1996002","SR90","STUK02",,11.8,10,
"WSTUK1996003","CS134","STUK01",,3.12,19,
"WSTUK1996003","CS137","STUK01",,101,4,
"WSTUK1996003","K40","STUK01",,1510,4,
"WSTUK1996004","CS134","STUK01",,1.8,22,
"WSTUK1996004","CS137","STUK01",,85.40000000000001,2,
"WSTUK1996004","K40","STUK01",,1190,2,
"WSTUK1996005","CS134","STUK01",,2.34,18,
"WSTUK1996005","CS137","STUK01",,103,4,
"WSTUK1996005","K40","STUK01",,1490,4,
"WSTUK1996006","CS134","STUK01",,2.24,17,
"WSTUK1996006","CS137","STUK01",,86.59999999999999,3,
"WSTUK1996006","K40","STUK01",,1270,3,
"WSTUK1996007","CS134","STUK01",,1.98,19,
"WSTUK1996007","CS137","STUK01",,108,4,
"WSTUK1996007","K40","STUK01",,1780,4,
"WSTUK1996008","CS137","STUK01",,118,4,
"WSTUK1996008","K40","STUK01",,2090,4,
"WSTUK1996009","CS134","STUK01",,2.24,12,
"WSTUK1996009","CS137","STUK01",,120,3,
"WSTUK1996009","K40","STUK01",,2190,4,
"WSTUK1996010","CS134","STUK01",,3.4,16,
"WSTUK1996010","CS137","STUK01",,109,4,
"WSTUK1996010","K40","STUK01",,1950,4,
"WSTUK1996011","CS134","STUK01",,2.33,15,
"WSTUK1996011","CS137","STUK01",,110,3,
"WSTUK1996011","K40","STUK01",,1900,3,
"WSTUK1996011","SR90","STUK02",,15.2,10,
"WSTUK1996012","CS134","STUK01",,3.69,20,
"WSTUK1996012","CS137","STUK01",,97.5,4,
"WSTUK1996012","K40","STUK01",,2340,4,
"WSTUK1996013","CS134","STUK01",,1.32,14,
"WSTUK1996013","CS137","STUK01",,50.5,3,
"WSTUK1996013","K40","STUK01",,1440,4,
"WSTUK1996014","CS134","STUK01",,1.68,14,
"WSTUK1996014","CS137","STUK01",,64.5,2,
"WSTUK1996014","K40","STUK01",,2290,3,
"WSTUK1996015","CS137","STUK01",,54.9,4,
"WSTUK1996015","K40","STUK01",,1600,4,
"WSTUK1996015","PU238","STUK03","<",0.002,,
"WSTUK1996015","PU239240","STUK03","<",0.002,,
"WSTUK1996015","SR90","STUK02",,16,10,
"WSTUK1996016","CS134","STUK01",,1.69,27,
"WSTUK1996016","CS137","STUK01",,66.40000000000001,4,
"WSTUK1996016","K40","STUK01",,2520,4,
"WSTUK1996017","CS137","STUK01",,71,5,
"WSTUK1996017","K40","STUK01",,1840,4,
"WSTUK1996018","CS137","STUK01",,57,5,
"WSTUK1996018","K40","STUK01",,1730,4,
"WSTUK1996018","SR90","STUK02",,14.3,10,
"WSTUK1996019","CS137","STUK01",,50.9,3,
"WSTUK1996019","K40","STUK01",,1580,2,
"WSTUK1996020","CS137","STUK01",,72.3,4,
"WSTUK1996020","K40","STUK01",,3060,2,
"WSTUK1996021","CS134","STUK01",,1.49,23,
"WSTUK1996021","CS137","STUK01",,71,4,
"WSTUK1996021","K40","STUK01",,2190,4,
"WSTUK1996022","CS137","STUK01",,79.8,5,
"WSTUK1996022","K40","STUK01",,2650,4,
"WSTUK1996023","CS134","STUK01",,1.6,23,
"WSTUK1996023","CS137","STUK01",,81.90000000000001,4,
"WSTUK1996023","K40","STUK01",,2100,4,
"WSTUK1996023","PU238","STUK03","<",0.001,,
"WSTUK1996023","PU239240","STUK03",,0.0019,40,
"WSTUK1996023","SR90","STUK02",,15.7,10,
"WSTUK1996024","CS137","STUK01",,67.8,4,
"WSTUK1996024","K40","STUK01",,3090,4,
"WSTUK1996024","PU238","STUK03","<",0.002,,
"WSTUK1996024","PU239240","STUK03",,0.0025,20,
"WSTUK1996024","SR90","STUK02",,13.6,10,
"WSTUK1996025","CS137","STUK01",,86.59999999999999,4,
"WSTUK1996025","K40","STUK01",,2760,4,
"WSTUK1996025","PU238","STUK03","<",0.003,,
"WSTUK1996025","PU239240","STUK03","<",0.001,,
"WSTUK1996025","SR90","STUK02",,18,10,
"WSTUK1996026","CS134","STUK01",,1.33,22,
"WSTUK1996026","CS137","STUK01",,61.8,4,
"WSTUK1996026","K40","STUK01",,3770,4,
"WSTUK1997001","CS134","STUK01",,2.02,19,
"WSTUK1997001","CS137","STUK01",,76,3,
"WSTUK1997001","K40","STUK01",,1240,3,
"WSTUK1997001","PU239240","STUK03","<",0.03,0,
"WSTUK1997001","SR90","STUK02",,17.6,10,
"WSTUK1997002","CS137","STUK01",,84.2,3,
"WSTUK1997002","K40","STUK01",,1260,3,
"WSTUK1997002","SR90","STUK02",,19.1,10,
"WSTUK1997003","CS134","STUK01",,1.41,10,
"WSTUK1997003","CS137","STUK01",,77.5,3,
"WSTUK1997003","K40","STUK01",,1190,4,
"WSTUK1997004","CS134","STUK01",,11.7,14,
"WSTUK1997004","CS137","STUK01",,90,3,
"WSTUK1997004","K40","STUK01",,1490,3,
"WSTUK1997005","CS137","STUK01",,86.09999999999999,4,
"WSTUK1997005","K40","STUK01",,1490,5,
"WSTUK1997006","CS137","STUK01",,93.3,4,
"WSTUK1997006","K40","STUK01",,1610,4,
"WSTUK1997007","CS134","STUK01","<",2,0,
"WSTUK1997007","CS137","STUK01",,97.2,10,
"WSTUK1997007","K40","STUK01",,4160,3,
"WSTUK1997008","CS134","STUK01",,1.61,19,
"WSTUK1997008","CS137","STUK01",,96.40000000000001,3,
